ticker,name,sector,industry,H,F,I,21,63,126,rs5,overlap_count,hit_scans,hit_lists,vcs,earnings,pp_count_30d,ema21_low_pct,atr_21ema_zone,atr_50sma_zone,three_weeks_tight,atr_pct_from_50sma,price_data_source,fundamental_data_source,data_quality_label,data_quality_score,data_warning,candidate_status,entry_notes
NVDA,NVIDIA Corporation,Technology,Semiconductors,96.67,100.0,100.0,66.67,100.0,100.0,100.0,2,,"High Est. EPS Growth, Momentum 97",45.25,No,0,-4.01,-1.21,-2.21,False,-6.83,cache_fresh,cache_fresh,mixed,83.83,,fail:full,ema21_low_pct is in full-size candidate range
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,60.0,50.0,66.67,100.0,33.33,66.67,66.67,1,,Relative Strength 21 > 63,45.72,No,0,-0.5,-0.11,-0.3,False,-1.41,cache_fresh,cache_fresh,mixed,83.83,,fail:full,ema21_low_pct is in full-size candidate range
