symbol,dataset,source,has_data,fetched_at,note
AAPL,fundamental,cache_fresh,True,2026-03-27 18:38:16.605407,
AAPL,price,cache_fresh,True,2026-03-27 18:35:26.408021,
AAPL,profile,cache_fresh,True,2026-03-27 18:36:22.759873,
ABBV,fundamental,cache_fresh,True,2026-03-27 18:38:26.569707,
ABBV,price,cache_fresh,True,2026-03-27 18:35:34.403136,
ABBV,profile,cache_fresh,True,2026-03-27 18:36:40.520830,
AMAT,fundamental,cache_fresh,True,2026-03-27 18:38:33.124288,
AMAT,price,cache_fresh,True,2026-03-27 18:35:39.953376,
AMAT,profile,cache_fresh,True,2026-03-27 18:36:51.787063,
AMD,fundamental,cache_fresh,True,2026-03-27 18:38:28.232279,
AMD,price,cache_fresh,True,2026-03-27 18:35:35.472912,
AMD,profile,cache_fresh,True,2026-03-27 18:36:42.803235,
AMZN,fundamental,cache_fresh,True,2026-03-27 18:38:18.237378,
AMZN,price,cache_fresh,True,2026-03-27 18:35:27.556393,
AMZN,profile,cache_fresh,True,2026-03-27 18:36:25.720418,
ASML,fundamental,cache_fresh,True,2026-03-27 18:38:23.473103,
ASML,price,cache_fresh,True,2026-03-27 18:35:31.889044,
ASML,profile,cache_fresh,True,2026-03-27 18:36:34.737841,
AVGO,fundamental,cache_fresh,True,2026-03-27 18:38:19.179455,
AVGO,price,cache_fresh,True,2026-03-27 18:35:28.222086,
AVGO,profile,cache_fresh,True,2026-03-27 18:36:27.193146,
AXP,fundamental,cache_fresh,True,2026-03-27 18:38:41.145969,
AXP,price,cache_fresh,True,2026-03-27 18:35:47.006016,
AXP,profile,cache_fresh,True,2026-03-27 18:37:06.404436,
AZN,fundamental,cache_fresh,True,2026-03-27 18:38:32.273248,
AZN,price,cache_fresh,True,2026-03-27 18:35:39.064776,
AZN,profile,cache_fresh,True,2026-03-27 18:36:50.287219,
BABA,fundamental,cache_fresh,True,2026-03-27 18:38:30.932012,
BABA,price,cache_fresh,True,2026-03-27 18:35:37.852541,
BABA,profile,cache_fresh,True,2026-03-27 18:36:47.853873,
BAC,fundamental,cache_fresh,True,2026-03-27 18:38:27.356209,
BAC,price,cache_fresh,True,2026-03-27 18:35:34.786999,
BAC,profile,cache_fresh,True,2026-03-27 18:36:41.305788,
