ticker,open,high,low,close,adjusted_close,volume,ema21_high,ema21_low,ema21_close,ema21_cloud_width,sma50,sma200,avg_volume_50d,wma10_weekly,wma30_weekly,three_weeks_tight,atr,adr_percent,dcr_percent,rel_volume,daily_change_pct,from_open_pct,weekly_return,monthly_return,quarterly_return,atr_21ema_zone,atr_10wma_zone,atr_50sma_zone,ema21_low_pct,atr_pct_from_50sma,overheat,atr_21ema_label,atr_50sma_label,ema21_low_size_bucket,pocket_pivot,pp_count_30d,trend_base,trade_date,name,market_cap,sector,industry,ipo_date,last_profile_update,eps_growth,revenue_growth,earnings_date,last_fundamental_update,price_data_source,profile_data_source,fundamental_data_source,price_data_note,profile_data_note,fundamental_data_note,price_data_timestamp,profile_data_timestamp,fundamental_data_timestamp,raw_rs5,rs5,raw_rs21,rs21,raw_rs63,rs63,raw_rs126,rs126,price_ratio,eps_growth_score,revenue_growth_score,fundamental_score,industry_score,hybrid_score,H,F,I,21,63,126,vcs,listing_age_days,ipo_timer,earnings_in_7d,earnings_today,earnings_flag,profile_data_coverage_pct,fundamental_data_coverage_pct,data_quality_score,data_quality_label,data_warning
AVGO,314.3299865722656,316.9200134277344,309.1700134277344,309.4150085449219,309.4150085449219,20146742,329.5912155308632,318.2426009159247,323.1135431808608,11.348614614938526,328.11910034179687,326.4601754760742,27292964.84,324.0794572310014,339.12410652406754,False,12.63463771322312,3.5781582298823986,3.1612273185483866,0.7381661214934537,-2.946892847030347,-1.5636363812886744,-3.259438441824958,-6.889647973842528,-11.423622450076088,-0.6986818752835365,-1.160654465836568,-1.4803821226547496,-2.852994239845093,-5.700397135488672,False,below,good,full,False,0,False,2026-03-26,Broadcom Inc.,1467021262848.0,Technology,Semiconductors,,2026-03-27T18:36:27.187225,1.727,16.400000000000002,,2026-03-27T18:38:19.177484,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:28.222086,2026-03-27 18:36:27.193146,2026-03-27 18:38:19.179455,40.0,40.0,42.857142857142854,42.857142857142854,36.507936507936506,36.507936507936506,18.253968253968253,18.253968253968253,0.4796462441888685,33.33333333333333,73.33333333333333,53.33333333333333,35.714285714285715,36.61904761904761,36.61904761904761,53.33333333333333,35.714285714285715,42.857142857142854,36.507936507936506,18.253968253968253,45.06688334725577,,unknown,False,False,False,80.0,66.67,83.83,mixed,
ORCL,143.88999938964844,146.47000122070312,142.5399932861328,142.80999755859375,142.80999755859375,16906500,155.93342364146213,149.78823905508617,152.11376417027287,6.1451845863759615,158.398798828125,219.5258992767334,29109256.0,153.3432725386186,187.53819366783225,False,7.194288184593204,4.133149915558225,6.87032385064277,0.5807946448373672,-2.198333529615293,-0.7505746303675248,-8.172586397052871,-3.4349867144635726,-26.891573545661785,-0.969969692267338,-1.464116353106649,-2.1668302505472545,-4.886381636992397,-9.841489572434387,False,below,good,full,False,0,False,2026-03-26,Oracle Corporation,410728136704.0,Technology,Software - Infrastructure,,2026-03-27T18:36:38.075547,26.700000000000003,21.7,,2026-03-27T18:38:25.222145,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:33.370495,2026-03-27 18:36:38.075548,2026-03-27 18:38:25.226170,20.0,20.0,28.57142857142857,28.57142857142857,20.634920634920633,20.634920634920633,10.317460317460316,10.317460317460316,0.22137994948508183,73.68421052631578,88.33333333333333,81.00877192982455,14.285714285714285,29.53508771929824,29.53508771929824,81.00877192982455,14.285714285714285,28.57142857142857,20.634920634920633,10.317460317460316,37.94206362332136,,unknown,False,False,False,80.0,66.67,83.83,mixed,
MU,370.0199890136719,374.25,350.0,355.4599914550781,355.4599914550781,54298600,420.62086931987244,397.47125977990726,407.73368680033485,23.149609539965184,404.22679931640624,237.25104984283448,39567928.0,409.562362948331,334.3151195074922,False,26.560308220017,5.458118471395429,22.515428680734537,1.3722881824896163,-6.96956348976564,-3.934921893653635,-19.99009605752612,-17.142193134014427,28.66399015112979,-1.5817312049552052,-2.036963240226217,-1.8360783864915897,-11.81884581520854,-12.06421937976363,False,below,good,full,False,0,False,2026-03-26,"Micron Technology, Inc.",400864313344.0,Technology,Semiconductors,,2026-03-27T18:36:38.968757,7.708,1.963,,2026-03-27T18:38:25.624980,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:33.786939,2026-03-27 18:36:38.971819,2026-03-27 18:38:25.629356,20.0,20.0,9.523809523809524,9.523809523809524,31.746031746031743,31.746031746031743,65.87301587301587,65.87301587301587,0.5510238519541061,50.877192982456144,18.333333333333332,34.60526315789474,35.714285714285715,38.11152882205514,38.11152882205514,34.60526315789474,35.714285714285715,9.523809523809524,31.746031746031743,65.87301587301587,39.46133761001316,,unknown,False,False,False,80.0,66.67,83.83,mixed,
PLTR,153.0500030517578,153.07000732421875,147.25,147.55999755859375,147.55999755859375,42818707,154.670698218028,148.2959932169121,151.17592338700527,6.374705001115899,149.67760009765624,163.97162521362304,52159618.14,146.27236328125,161.75243113528015,False,6.949386360201893,4.122826656105135,5.326411829479314,0.8209168035906944,-4.775431617615711,-3.5870665688960983,-5.215824447074702,9.963480791369307,-23.98908265228291,-0.10590800686133917,0.18528747872155255,-0.30471791742500964,-0.49877722316043455,-1.4147758500142116,False,good,good,full,False,0,False,2026-03-26,Palantir Technologies Inc.,370614075392.0,Technology,Software - Infrastructure,,2026-03-26T18:21:18.627987,6.704,70.0,,2026-03-27T18:38:26.966883,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 10:05:39.477145,2026-03-26 18:21:18.627988,2026-03-27 18:38:26.968883,20.0,20.0,52.38095238095239,52.38095238095239,47.61904761904761,47.61904761904761,23.809523809523807,23.809523809523807,0.22874326282470075,47.368421052631575,98.33333333333333,72.85087719298245,14.285714285714285,38.379699248120296,38.379699248120296,72.85087719298245,14.285714285714285,52.38095238095239,47.61904761904761,23.809523809523807,45.721831606315135,,unknown,False,False,False,80.0,66.67,83.83,mixed,
AMD,218.0200042724609,221.0,203.42999267578125,203.7700042724609,203.7700042724609,48373472,208.91343468219478,199.98079160616845,204.13262511794096,8.932643076026324,214.3545999145508,194.76944980621337,38883165.44,204.13381791548295,213.1057841967511,False,10.008877653355329,4.112423661433472,1.9351818721838676,1.2440723756054364,-7.490806591890964,-6.536097477638653,-0.730744857397192,-3.362418816925028,-5.179148413277634,0.3785851718371419,-0.03634909483583088,-1.0575207339597712,1.8595537060625957,-4.937890601045776,False,good,good,full,False,0,False,2026-03-26,"Advanced Micro Devices, Inc.",332228820992.0,Technology,Semiconductors,,2026-03-27T18:36:42.787874,2.135,34.1,,2026-03-27T18:38:28.229311,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:35.472912,2026-03-27 18:36:42.803235,2026-03-27 18:38:28.232279,80.0,80.0,95.23809523809523,95.23809523809523,71.42857142857143,71.42857142857143,53.17460317460318,53.17460317460318,0.31587839803655066,35.08771929824561,93.33333333333333,64.21052631578947,35.714285714285715,58.000835421888056,58.000835421888056,64.21052631578947,35.714285714285715,95.23809523809523,71.42857142857143,53.17460317460318,45.514606098867226,,unknown,False,False,False,80.0,66.67,83.83,mixed,
AMAT,358.364990234375,358.69989013671875,337.54998779296875,338.54998779296875,338.54998779296875,9250310,360.6220600318321,345.60498154868213,353.058086276632,15.017078483149987,343.6109997558594,244.71160011291505,7917774.2,347.3452714399858,299.57017169255084,False,17.08440758380135,4.06756060660614,4.728154219092693,1.1682967670383932,-8.336494517304772,-5.529279639857398,-5.223819072388968,-14.28029438431765,30.096442954365997,-0.41294927676641263,-0.5148134990268176,-0.2962357306254652,-2.0838853965718283,-1.4728899733962402,False,good,good,full,False,0,False,2026-03-26,"Applied Materials, Inc.",268676612096.0,Technology,Semiconductor Equipment & Materials,,2026-03-27T18:36:51.787063,71.0,-2.1,,2026-03-27T18:38:33.113901,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:39.953376,2026-03-27 18:36:51.787063,2026-03-27 18:38:33.124288,20.0,20.0,52.38095238095239,52.38095238095239,73.01587301587301,73.01587301587301,86.5079365079365,86.5079365079365,0.5248104507881661,96.49122807017544,10.0,53.24561403508772,64.28571428571429,67.07769423558898,67.07769423558898,53.24561403508772,64.28571428571429,52.38095238095239,73.01587301587301,86.5079365079365,42.65699381370665,,unknown,False,False,False,80.0,66.67,83.83,mixed,
LRCX,226.88499450683597,226.88499450683597,211.38999938964844,211.6199951171875,211.6199951171875,13433967,230.90110113394613,219.6062363264244,225.24997400515963,11.29486480752172,227.40059967041014,155.25599948883055,11669297.34,224.6490905761719,197.32610778808595,False,12.553913101891254,4.775902094246696,1.4843226848386943,1.151223300648195,-9.351039672917437,-6.728077995122122,-9.560241826922866,-15.175565680103276,20.815249310802074,-0.6361555273179147,-1.0378513339415696,-1.257026747368937,-3.7738594620108636,-6.939561538577618,False,below,good,full,False,0,False,2026-03-26,Lam Research Corporation,265801056256.0,Technology,Semiconductor Equipment & Materials,,2026-03-27T18:36:52.520776,33.800000000000004,22.1,,2026-03-27T18:38:33.706124,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:40.273071,2026-03-27 18:36:52.532435,2026-03-27 18:38:33.706125,20.0,20.0,52.38095238095239,52.38095238095239,52.38095238095239,52.38095238095239,76.19047619047619,76.19047619047619,0.3280472279950479,83.33333333333334,90.0,86.66666666666667,64.28571428571429,67.57142857142858,67.57142857142858,86.66666666666667,64.28571428571429,52.38095238095239,52.38095238095239,76.19047619047619,39.92328684500812,,unknown,False,False,False,80.0,66.67,83.83,mixed,
GEV,915.0,917.2636108398438,871.010009765625,873.1199951171875,873.1199951171875,2591924,873.4383193353718,834.2473485079747,853.5373281658754,39.19097082739711,795.9267980957031,648.7024496459961,2903032.48,808.5678189364346,711.5905631772933,False,41.05419422063625,4.509729238183583,4.561775305185011,0.8928332761884911,-5.474781278411278,-4.577049713968579,-0.4866729116994706,-0.3299065782605304,32.0009039237729,0.9468617603429446,1.57236495335488,1.8802755354697118,4.452153979590791,9.698529714814624,True,good,good,full,False,0,True,2026-03-26,GE Vernova Inc.,236895305728.0,Industrials,Specialty Industrial Machinery,,2026-03-27T18:36:59.126716,6.57,3.8,,2026-03-27T18:38:37.205864,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:43.432600,2026-03-27 18:36:59.126717,2026-03-27 18:38:37.205864,60.0,60.0,90.47619047619048,90.47619047619048,96.82539682539682,96.82539682539682,98.4126984126984,98.4126984126984,1.3534854962388194,45.614035087719294,28.333333333333332,36.973684210526315,82.14285714285714,80.1328320802005,80.1328320802005,36.973684210526315,82.14285714285714,90.47619047619048,96.82539682539682,98.4126984126984,54.12857275351389,,unknown,False,False,False,80.0,66.67,83.83,mixed,
INTC,46.29499816894531,46.59999847412109,43.91999816894531,44.09999847412109,44.09999847412109,81303726,46.650371228043056,44.30940671074481,45.30019326989655,2.3409645172982465,46.563600082397464,34.6803000164032,106536564.52,45.3589089827104,42.258666787096246,False,2.6175585565382438,5.115889651473511,6.716428532793335,0.7631532550942821,-6.528193749750377,-4.741332285647722,-4.504118270483359,-5.930039527846609,21.320496080673877,-0.08000135702815692,-0.48094836520266526,-0.9411829974625375,-0.47484862555405477,-5.29083147333296,False,good,good,full,False,0,False,2026-03-26,Intel Corporation,221426548736.0,Technology,Semiconductors,,2026-03-27T18:37:03.020924,,-4.1000000000000005,,2026-03-27T18:38:39.394401,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:45.305583,2026-03-27 18:37:03.020924,2026-03-27 18:38:39.395351,80.0,80.0,71.42857142857143,71.42857142857143,66.66666666666666,66.66666666666666,83.33333333333334,83.33333333333334,0.06836254885087785,,3.3333333333333335,26.666666666666668,35.714285714285715,53.19047619047619,53.19047619047619,26.666666666666668,35.714285714285715,71.42857142857143,66.66666666666666,83.33333333333334,45.35638980238596,,unknown,False,False,False,80.0,33.33,82.17,mixed,
