symbol,dataset,source,has_data,fetched_at,note
AAPL,fundamental,live,True,2026-03-27 18:38:16.619143,
AAPL,price,live,True,2026-03-27 18:35:26.410658,
AAPL,profile,live,True,2026-03-27 18:36:22.763225,
ABBV,fundamental,live,True,2026-03-27 18:38:26.572717,
ABBV,price,live,True,2026-03-27 18:35:34.403136,
ABBV,profile,live,True,2026-03-27 18:36:40.537274,
ABT,fundamental,live,True,2026-03-27 18:38:45.054274,
ABT,price,live,True,2026-03-27 18:35:50.537412,
ABT,profile,live,True,2026-03-27 18:37:13.904056,
ACN,fundamental,live,True,2026-03-27 18:39:05.018275,
ACN,price,live,True,2026-03-27 18:36:08.223291,
ACN,profile,live,True,2026-03-27 18:37:49.422714,
ADBE,fundamental,live,True,2026-03-27 18:39:18.927832,
ADBE,price,live,True,2026-03-27 18:36:19.870286,
ADBE,profile,live,True,2026-03-27 18:38:13.382394,
ADI,fundamental,live,True,2026-03-27 18:38:52.458649,
ADI,price,live,True,2026-03-27 18:35:57.154633,
ADI,profile,live,True,2026-03-27 18:37:27.756764,
AEM,fundamental,live,True,2026-03-27 18:39:20.146003,
AEM,price,live,True,2026-03-27 18:36:21.196987,
AEM,profile,live,True,2026-03-27 18:38:15.806335,
AMAT,fundamental,live,True,2026-03-27 18:38:33.124287,
AMAT,price,live,True,2026-03-27 18:35:39.953376,
AMAT,profile,live,True,2026-03-27 18:36:51.787063,
AMD,fundamental,live,True,2026-03-27 18:38:28.236204,
AMD,price,live,True,2026-03-27 18:35:35.472911,
AMD,profile,live,True,2026-03-27 18:36:42.806091,
AMGN,fundamental,live,True,2026-03-27 18:38:43.539095,
AMGN,price,live,True,2026-03-27 18:35:49.352136,
AMGN,profile,live,True,2026-03-27 18:37:11.491408,
AMZN,fundamental,live,True,2026-03-27 18:38:18.239463,
AMZN,price,live,True,2026-03-27 18:35:27.556393,
AMZN,profile,live,True,2026-03-27 18:36:25.724416,
ANET,fundamental,cache_fresh,True,2026-03-27 10:05:43.811750,
ANET,price,cache_fresh,True,2026-03-27 10:05:40.025785,
ANET,profile,cache_fresh,True,2026-03-27 10:05:42.330824,
APH,fundamental,live,True,2026-03-27 18:38:53.272781,
APH,price,live,True,2026-03-27 18:35:57.920466,
APH,profile,live,True,2026-03-27 18:37:29.335814,
APP,fundamental,cache_fresh,True,2026-03-27 10:05:43.992494,
APP,price,cache_fresh,True,2026-03-27 10:05:40.555913,
APP,profile,cache_fresh,True,2026-03-27 10:05:43.078725,
ARM,fundamental,live,True,2026-03-27 18:38:49.375264,
ARM,price,live,True,2026-03-27 18:35:54.056290,
ARM,profile,live,True,2026-03-27 18:37:22.060501,
ASML,fundamental,live,True,2026-03-27 18:38:23.473102,
ASML,price,live,True,2026-03-27 18:35:31.903400,
ASML,profile,live,True,2026-03-27 18:36:34.755159,
AVGO,fundamental,live,True,2026-03-27 18:38:19.181455,
AVGO,price,live,True,2026-03-27 18:35:28.236539,
AVGO,profile,live,True,2026-03-27 18:36:27.193145,
AXP,fundamental,live,True,2026-03-27 18:38:41.145969,
AXP,price,live,True,2026-03-27 18:35:47.006015,
AXP,profile,live,True,2026-03-27 18:37:06.404436,
AZN,fundamental,live,True,2026-03-27 18:38:32.273248,
AZN,price,live,True,2026-03-27 18:35:39.069602,
AZN,profile,live,True,2026-03-27 18:36:50.287219,
BA,fundamental,live,True,2026-03-27 18:38:52.871074,
BA,price,live,True,2026-03-27 18:35:57.570246,
BA,profile,live,True,2026-03-27 18:37:28.488238,
BABA,fundamental,live,True,2026-03-27 18:38:30.934999,
BABA,price,live,True,2026-03-27 18:35:37.859133,
BABA,profile,live,True,2026-03-27 18:36:47.853872,
BAC,fundamental,live,True,2026-03-27 18:38:27.371427,
BAC,price,live,True,2026-03-27 18:35:34.786998,
BAC,profile,live,True,2026-03-27 18:36:41.305787,
BBVA,fundamental,live,True,2026-03-27 18:39:07.166404,
BBVA,price,live,True,2026-03-27 18:36:10.122604,
BBVA,profile,live,True,2026-03-27 18:37:53.188784,
BHP,fundamental,live,True,2026-03-27 18:38:46.807738,
BHP,price,live,True,2026-03-27 18:35:52.089678,
BHP,profile,live,True,2026-03-27 18:37:17.146508,
BMY,fundamental,live,True,2026-03-27 18:39:04.224023,
BMY,price,live,True,2026-03-27 18:36:07.514801,
BMY,profile,live,True,2026-03-27 18:37:47.953274,
BP,fundamental,live,True,2026-03-27 18:39:07.962912,
BP,price,live,True,2026-03-27 18:36:11.120835,
BP,profile,live,True,2026-03-27 18:37:54.831962,
BRK-B,fundamental,live,True,2026-03-27 18:38:20.380323,
BRK-B,price,live,True,2026-03-27 18:35:28.853092,
BRK-B,profile,live,True,2026-03-27 18:36:28.713468,
BSX,fundamental,live,True,2026-03-27 18:39:15.892346,
BSX,price,live,True,2026-03-27 18:36:17.736697,
BSX,profile,live,True,2026-03-27 18:38:08.676058,
BTI,fundamental,live,True,2026-03-27 18:39:02.859432,
BTI,price,live,True,2026-03-27 18:36:06.343835,
BTI,profile,live,True,2026-03-27 18:37:45.582698,
BUD,fundamental,live,True,2026-03-27 18:38:59.214124,
BUD,price,live,True,2026-03-27 18:36:03.001920,
BUD,profile,live,True,2026-03-27 18:37:39.452450,
BX,fundamental,live,True,2026-03-27 18:38:57.866969,
BX,price,live,True,2026-03-27 18:36:01.903968,
BX,profile,live,True,2026-03-27 18:37:37.188450,
C,fundamental,live,True,2026-03-27 18:38:41.939092,
C,price,live,True,2026-03-27 18:35:47.813142,
C,profile,live,True,2026-03-27 18:37:08.024346,
CAT,fundamental,live,True,2026-03-27 18:38:28.771967,
CAT,price,live,True,2026-03-27 18:35:35.970346,
CAT,profile,live,True,2026-03-27 18:36:43.820083,
CB,fundamental,live,True,2026-03-27 18:39:02.455485,
CB,price,live,True,2026-03-27 18:36:05.904806,
CB,profile,live,True,2026-03-27 18:37:44.571257,
CEG,fundamental,live,True,2026-03-27 18:39:14.676623,
CEG,price,live,True,2026-03-27 18:36:16.673189,
CEG,profile,live,True,2026-03-27 18:38:06.226077,
CMCSA,fundamental,live,True,2026-03-27 18:39:15.486620,
CMCSA,price,live,True,2026-03-27 18:36:17.475201,
CMCSA,profile,live,True,2026-03-27 18:38:07.938226,
CME,fundamental,live,True,2026-03-27 18:39:13.833418,
CME,price,live,True,2026-03-27 18:36:16.005883,
CME,profile,live,True,2026-03-27 18:38:04.813944,
CNQ,fundamental,live,True,2026-03-27 18:39:17.273066,
CNQ,price,live,True,2026-03-27 18:36:18.778230,
CNQ,profile,live,True,2026-03-27 18:38:10.890374,
COF,fundamental,live,True,2026-03-27 18:39:10.701043,
COF,price,live,True,2026-03-27 18:36:13.154458,
COF,profile,live,True,2026-03-27 18:37:59.470299,
COP,fundamental,live,True,2026-03-27 18:38:49.912310,
COP,price,live,True,2026-03-27 18:35:54.639372,
COP,profile,live,True,2026-03-27 18:37:22.921266,
COST,fundamental,live,True,2026-03-27 18:38:24.428466,
COST,price,live,True,2026-03-27 18:35:32.603820,
COST,profile,live,True,2026-03-27 18:36:36.378823,
CRM,fundamental,live,True,2026-03-27 18:38:47.222906,
CRM,price,live,True,2026-03-27 18:35:52.370313,
CRM,profile,live,True,2026-03-27 18:37:17.867514,
CRWD,fundamental,cache_fresh,True,2026-03-27 10:05:43.595346,
CRWD,price,cache_fresh,True,2026-03-27 10:05:39.745773,
CRWD,profile,cache_fresh,True,2026-03-27 10:05:42.011697,
CSCO,fundamental,live,True,2026-03-27 18:38:29.725373,
CSCO,price,live,True,2026-03-27 18:35:36.722571,
CSCO,profile,live,True,2026-03-27 18:36:45.322396,
CVX,fundamental,live,True,2026-03-27 18:38:24.821755,
CVX,price,live,True,2026-03-27 18:35:33.055989,
CVX,profile,live,True,2026-03-27 18:36:37.338497,
DE,fundamental,live,True,2026-03-27 18:38:51.249405,
DE,price,live,True,2026-03-27 18:35:55.785157,
DE,profile,live,True,2026-03-27 18:37:25.306770,
DELL,fundamental,live,True,2026-03-27 18:39:08.940671,
DELL,price,live,True,2026-03-27 18:36:11.737382,
DELL,profile,live,True,2026-03-27 18:37:56.381218,
DHR,fundamental,live,True,2026-03-27 18:38:58.258260,
DHR,price,live,True,2026-03-27 18:36:02.306323,
DHR,profile,live,True,2026-03-27 18:37:38.021227,
DIA,price,cache_fresh,True,2026-03-27 17:26:19.862278,
DIS,fundamental,live,True,2026-03-27 18:38:48.155403,
DIS,price,live,True,2026-03-27 18:35:53.103736,
DIS,profile,live,True,2026-03-27 18:37:19.608988,
DUK,fundamental,live,True,2026-03-27 18:39:17.851116,
DUK,price,live,True,2026-03-27 18:36:19.162210,
DUK,profile,live,True,2026-03-27 18:38:11.787946,
ENB,fundamental,live,True,2026-03-27 18:39:06.220886,
ENB,price,live,True,2026-03-27 18:36:09.304229,
ENB,profile,live,True,2026-03-27 18:37:51.628281,
EQNR,fundamental,live,True,2026-03-27 18:39:16.845547,
EQNR,price,live,True,2026-03-27 18:36:18.370238,
EQNR,profile,live,True,2026-03-27 18:38:10.140403,
ETN,fundamental,live,True,2026-03-27 18:38:57.037643,
ETN,price,live,True,2026-03-27 18:36:01.222320,
ETN,profile,live,True,2026-03-27 18:37:35.771478,
FDN,price,cache_fresh,True,2026-03-27 17:26:24.947984,
GD,fundamental,live,True,2026-03-27 18:39:19.743757,
GD,price,live,True,2026-03-27 18:36:20.723174,
GD,profile,live,True,2026-03-27 18:38:15.022622,
GE,fundamental,live,True,2026-03-27 18:38:30.534129,
GE,price,live,True,2026-03-27 18:35:37.594917,
GE,profile,live,True,2026-03-27 18:36:47.114706,
GEV,fundamental,live,True,2026-03-27 18:38:37.205864,
GEV,price,live,True,2026-03-27 18:35:43.436716,
GEV,profile,live,True,2026-03-27 18:36:59.135640,
GILD,fundamental,live,True,2026-03-27 18:38:47.756915,
GILD,price,live,True,2026-03-27 18:35:52.686945,
GILD,profile,live,True,2026-03-27 18:37:18.756455,
GLW,fundamental,live,True,2026-03-27 18:39:09.352467,
GLW,price,live,True,2026-03-27 18:36:12.186447,
GLW,profile,live,True,2026-03-27 18:37:57.149910,
GOOG,fundamental,live,True,2026-03-27 18:38:17.425808,
GOOG,price,live,True,2026-03-27 18:35:27.005431,
GOOG,profile,live,True,2026-03-27 18:36:24.174049,
GOOGL,fundamental,live,True,2026-03-27 18:38:17.020546,
GOOGL,price,live,True,2026-03-27 18:35:26.707492,
GOOGL,profile,live,True,2026-03-27 18:36:23.496701,
GS,fundamental,live,True,2026-03-27 18:38:35.859330,
GS,price,live,True,2026-03-27 18:35:42.269988,
GS,profile,live,True,2026-03-27 18:36:56.590078,
GSK,fundamental,live,True,2026-03-27 18:39:12.458111,
GSK,price,live,True,2026-03-27 18:36:14.653545,
GSK,profile,live,True,2026-03-27 18:38:02.579852,
HACK,price,cache_fresh,True,2026-03-27 17:26:24.668934,
HCA,fundamental,live,True,2026-03-27 18:39:14.272193,
HCA,price,live,True,2026-03-27 18:36:16.389512,
HCA,profile,live,True,2026-03-27 18:38:05.521802,
HD,fundamental,live,True,2026-03-27 18:38:29.313269,
HD,price,live,True,2026-03-27 18:35:36.370140,
HD,profile,live,True,2026-03-27 18:36:44.589268,
HDB,fundamental,live,True,2026-03-27 18:39:01.098068,
HDB,price,live,True,2026-03-27 18:36:04.605412,
HDB,profile,live,True,2026-03-27 18:37:42.452484,
HON,fundamental,live,True,2026-03-27 18:38:54.872142,
HON,price,live,True,2026-03-27 18:35:59.340820,
HON,profile,live,True,2026-03-27 18:37:32.173328,
HSBC,fundamental,live,True,2026-03-27 18:38:32.704851,
HSBC,price,live,True,2026-03-27 18:35:39.472292,
HSBC,profile,live,True,2026-03-27 18:36:51.020980,
IBKR,fundamental,live,True,2026-03-27 18:39:11.553280,
IBKR,price,live,True,2026-03-27 18:36:13.953503,
IBKR,profile,live,True,2026-03-27 18:38:00.982274,
IBM,fundamental,live,True,2026-03-27 18:38:38.572254,
IBM,price,live,True,2026-03-27 18:35:44.607328,
IBM,profile,live,True,2026-03-27 18:37:01.520966,
IGV,price,cache_fresh,True,2026-03-27 17:26:24.232069,
INTC,fundamental,live,True,2026-03-27 18:38:39.395351,
INTC,price,live,True,2026-03-27 18:35:45.309923,
INTC,profile,live,True,2026-03-27 18:37:03.020924,
INTU,fundamental,live,True,2026-03-27 18:39:05.410570,
INTU,price,live,True,2026-03-27 18:36:08.593249,
INTU,profile,live,True,2026-03-27 18:37:50.161148,
ISRG,fundamental,live,True,2026-03-27 18:38:48.975196,
ISRG,price,live,True,2026-03-27 18:35:53.797649,
ISRG,profile,live,True,2026-03-27 18:37:21.339735,
ITA,price,cache_fresh,True,2026-03-27 17:26:25.844925,
IWM,price,cache_fresh,True,2026-03-27 17:26:20.347593,
JNJ,fundamental,live,True,2026-03-27 18:38:23.088058,
JNJ,price,live,True,2026-03-27 18:35:31.569864,
JNJ,profile,live,True,2026-03-27 18:36:33.810860,
JPM,fundamental,live,True,2026-03-27 18:38:21.704316,
JPM,price,live,True,2026-03-27 18:35:30.219276,
JPM,profile,live,True,2026-03-27 18:36:31.198377,
KLAC,fundamental,live,True,2026-03-27 18:38:43.141017,
KLAC,price,live,True,2026-03-27 18:35:49.041941,
KLAC,profile,live,True,2026-03-27 18:37:10.603667,
KO,fundamental,live,True,2026-03-27 18:38:30.123920,
KO,price,live,True,2026-03-27 18:35:37.172614,
KO,profile,live,True,2026-03-27 18:36:46.178137,
LIN,fundamental,live,True,2026-03-27 18:38:38.022439,
LIN,price,live,True,2026-03-27 18:35:44.070720,
LIN,profile,live,True,2026-03-27 18:37:00.738662,
LLY,fundamental,live,True,2026-03-27 18:38:21.310151,
LLY,price,live,True,2026-03-27 18:35:29.786540,
LLY,profile,live,True,2026-03-27 18:36:30.361374,
LMT,fundamental,live,True,2026-03-27 18:38:54.486405,
LMT,price,live,True,2026-03-27 18:35:58.922621,
LMT,profile,live,True,2026-03-27 18:37:31.422858,
LOW,fundamental,live,True,2026-03-27 18:38:58.675299,
LOW,price,live,True,2026-03-27 18:36:02.672974,
LOW,profile,live,True,2026-03-27 18:37:38.741951,
LRCX,fundamental,live,True,2026-03-27 18:38:33.706124,
LRCX,price,live,True,2026-03-27 18:35:40.273071,
LRCX,profile,live,True,2026-03-27 18:36:52.536876,
MA,fundamental,live,True,2026-03-27 18:38:23.887387,
MA,price,live,True,2026-03-27 18:35:32.286944,
MA,profile,live,True,2026-03-27 18:36:35.537192,
MCD,fundamental,live,True,2026-03-27 18:38:39.788623,
MCD,price,live,True,2026-03-27 18:35:45.723550,
MCD,profile,live,True,2026-03-27 18:37:03.797208,
MDT,fundamental,live,True,2026-03-27 18:39:11.121892,
MDT,price,live,True,2026-03-27 18:36:13.585327,
MDT,profile,live,True,2026-03-27 18:38:00.204862,
META,fundamental,live,True,2026-03-27 18:38:19.976000,
META,price,cache_fresh,True,2026-03-27 10:05:39.296686,
META,profile,cache_fresh,True,2026-03-26 18:21:18.294863,
MO,fundamental,live,True,2026-03-27 18:39:12.875274,
MO,price,live,True,2026-03-27 18:36:15.120766,
MO,profile,live,True,2026-03-27 18:38:03.359182,
MRK,fundamental,live,True,2026-03-27 18:38:31.472680,
MRK,price,live,True,2026-03-27 18:35:38.339775,
MRK,profile,live,True,2026-03-27 18:36:48.641816,
MS,fundamental,live,True,2026-03-27 18:38:34.924772,
MS,price,live,True,2026-03-27 18:35:41.520292,
MS,profile,live,True,2026-03-27 18:36:55.038830,
MSFT,fundamental,live,True,2026-03-27 18:38:17.833669,
MSFT,price,live,True,2026-03-27 18:35:27.270246,
MSFT,profile,live,True,2026-03-27 18:36:24.890104,
MU,fundamental,live,True,2026-03-27 18:38:25.630436,
MU,price,live,True,2026-03-27 18:35:33.801736,
MU,profile,live,True,2026-03-27 18:36:38.971819,
MUFG,fundamental,live,True,2026-03-27 18:38:44.640096,
MUFG,price,live,True,2026-03-27 18:35:50.048497,
MUFG,profile,live,True,2026-03-27 18:37:13.110838,
NEE,fundamental,live,True,2026-03-27 18:38:44.092627,
NEE,price,live,True,2026-03-27 18:35:49.722439,
NEE,profile,live,True,2026-03-27 18:37:12.355584,
NEM,fundamental,live,True,2026-03-27 18:39:13.290997,
NEM,price,live,True,2026-03-27 18:36:15.506237,
NEM,profile,live,True,2026-03-27 18:38:04.091094,
NFLX,fundamental,live,True,2026-03-27 18:38:26.171681,
NFLX,price,live,True,2026-03-27 18:35:34.103273,
NFLX,profile,live,True,2026-03-27 18:36:39.677411,
NOW,fundamental,live,True,2026-03-27 18:39:11.993688,
NOW,price,live,True,2026-03-27 18:36:14.224815,
NOW,profile,live,True,2026-03-27 18:38:01.817060,
NVDA,fundamental,live,True,2026-03-27 18:38:16.219596,
NVDA,price,cache_fresh,True,2026-03-27 10:05:39.062671,
NVDA,profile,cache_fresh,True,2026-03-26 18:21:17.977545,
NVO,fundamental,live,True,2026-03-27 18:38:50.313500,
NVO,price,live,True,2026-03-27 18:35:55.024530,
NVO,profile,live,True,2026-03-27 18:37:23.668966,
NVS,fundamental,live,True,2026-03-27 18:38:31.873368,
NVS,price,live,True,2026-03-27 18:35:38.693122,
NVS,profile,live,True,2026-03-27 18:36:49.507103,
ORCL,fundamental,live,True,2026-03-27 18:38:25.226169,
ORCL,price,live,True,2026-03-27 18:35:33.381815,
ORCL,profile,live,True,2026-03-27 18:36:38.075547,
PANW,fundamental,live,True,2026-03-27 18:39:01.488489,
PANW,price,live,True,2026-03-27 18:36:04.903732,
PANW,profile,live,True,2026-03-27 18:37:43.123318,
PBR,fundamental,live,True,2026-03-27 18:39:00.163770,
PBR,price,live,True,2026-03-27 18:36:03.898915,
PBR,profile,live,True,2026-03-27 18:37:40.987578,
PBR-A,fundamental,live,True,2026-03-27 18:39:05.821687,
PBR-A,price,live,True,2026-03-27 18:36:08.923368,
PBR-A,profile,live,True,2026-03-27 18:37:50.877299,
PDD,fundamental,live,True,2026-03-27 18:38:55.425461,
PDD,price,live,True,2026-03-27 18:35:59.605842,
PDD,profile,live,True,2026-03-27 18:37:32.853665,
PEP,fundamental,live,True,2026-03-27 18:38:40.739407,
PEP,price,live,True,2026-03-27 18:35:46.561559,
PEP,profile,live,True,2026-03-27 18:37:05.487749,
PFE,fundamental,live,True,2026-03-27 18:38:51.641737,
PFE,price,live,True,2026-03-27 18:35:56.389527,
PFE,profile,live,True,2026-03-27 18:37:26.039532,
PG,fundamental,live,True,2026-03-27 18:38:27.822614,
PG,price,live,True,2026-03-27 18:35:35.203616,
PG,profile,live,True,2026-03-27 18:36:42.091463,
PGR,fundamental,live,True,2026-03-27 18:39:06.757022,
PGR,price,live,True,2026-03-27 18:36:09.756119,
PGR,profile,live,True,2026-03-27 18:37:52.458289,
PLD,fundamental,live,True,2026-03-27 18:39:04.619789,
PLD,price,live,True,2026-03-27 18:36:07.911493,
PLD,profile,live,True,2026-03-27 18:37:48.701259,
PLTR,fundamental,live,True,2026-03-27 18:38:26.973072,
PLTR,price,cache_fresh,True,2026-03-27 10:05:39.477145,
PLTR,profile,cache_fresh,True,2026-03-26 18:21:18.627988,
PM,fundamental,live,True,2026-03-27 18:38:35.458355,
PM,price,live,True,2026-03-27 18:35:41.922439,
PM,profile,live,True,2026-03-27 18:36:55.788475,
QCOM,fundamental,live,True,2026-03-27 18:38:56.636788,
QCOM,price,live,True,2026-03-27 18:36:00.759150,
QCOM,profile,live,True,2026-03-27 18:37:35.038294,
QQQ,price,cache_fresh,True,2026-03-27 17:26:18.829228,
QQQE,price,cache_fresh,True,2026-03-27 17:26:19.147484,
RIO,fundamental,live,True,2026-03-27 18:38:56.228064,
RIO,price,live,True,2026-03-27 18:36:00.442158,
RIO,profile,live,True,2026-03-27 18:37:34.339388,
RSP,price,cache_fresh,True,2026-03-27 17:26:19.545742,
RTX,fundamental,live,True,2026-03-27 18:38:34.122982,
RTX,price,live,True,2026-03-27 18:35:40.736759,
RTX,profile,live,True,2026-03-27 18:36:53.345998,
RY,fundamental,live,True,2026-03-27 18:38:38.978007,
RY,price,live,True,2026-03-27 18:35:44.977820,
RY,profile,live,True,2026-03-27 18:37:02.287378,
SAN,fundamental,live,True,2026-03-27 18:38:50.848995,
SAN,price,live,True,2026-03-27 18:35:55.370622,
SAN,profile,live,True,2026-03-27 18:37:24.522144,
SAP,fundamental,live,True,2026-03-27 18:38:42.340683,
SAP,price,live,True,2026-03-27 18:35:48.153687,
SAP,profile,live,True,2026-03-27 18:37:08.904548,
SBUX,fundamental,live,True,2026-03-27 18:39:16.438897,
SBUX,price,live,True,2026-03-27 18:36:18.039243,
SBUX,profile,live,True,2026-03-27 18:38:09.404510,
SCCO,fundamental,live,True,2026-03-27 18:38:59.756260,
SCCO,price,live,True,2026-03-27 18:36:03.570232,
SCCO,profile,live,True,2026-03-27 18:37:40.305699,
SCHW,fundamental,live,True,2026-03-27 18:38:48.563121,
SCHW,price,live,True,2026-03-27 18:35:53.524684,
SCHW,profile,live,True,2026-03-27 18:37:20.397084,
SHEL,fundamental,live,True,2026-03-27 18:38:34.529898,
SHEL,price,live,True,2026-03-27 18:35:41.127947,
SHEL,profile,live,True,2026-03-27 18:36:54.260079,
SHOP,fundamental,live,True,2026-03-27 18:38:53.675918,
SHOP,price,live,True,2026-03-27 18:35:58.186812,
SHOP,profile,live,True,2026-03-27 18:37:30.003548,
SMFG,fundamental,live,True,2026-03-27 18:39:03.822190,
SMFG,price,live,True,2026-03-27 18:36:07.096027,
SMFG,profile,live,True,2026-03-27 18:37:47.187946,
SMH,price,cache_fresh,True,2026-03-27 17:26:23.814578,
SNY,fundamental,live,True,2026-03-27 18:39:10.156104,
SNY,price,live,True,2026-03-27 18:36:12.773087,
SNY,profile,live,True,2026-03-27 18:37:58.723442,
SO,fundamental,live,True,2026-03-27 18:39:15.086666,
SO,price,live,True,2026-03-27 18:36:17.056796,
SO,profile,live,True,2026-03-27 18:38:06.973471,
SONY,fundamental,live,True,2026-03-27 18:39:07.562210,
SONY,price,live,True,2026-03-27 18:36:10.701911,
SONY,profile,live,True,2026-03-27 18:37:53.964330,
SPGI,fundamental,live,True,2026-03-27 18:39:03.256704,
SPGI,price,live,True,2026-03-27 18:36:06.781951,
SPGI,profile,live,True,2026-03-27 18:37:46.325419,
SPOT,fundamental,live,True,2026-03-27 18:39:18.523357,
SPOT,price,live,True,2026-03-27 18:36:19.436949,
SPOT,profile,live,True,2026-03-27 18:38:12.647950,
SPY,price,cache_fresh,True,2026-03-27 10:05:41.104300,
SYK,fundamental,live,True,2026-03-27 18:39:01.905408,
SYK,price,live,True,2026-03-27 18:36:05.287798,
SYK,profile,live,True,2026-03-27 18:37:43.838988,
T,fundamental,live,True,2026-03-27 18:38:41.544741,
T,price,live,True,2026-03-27 18:35:47.370386,
T,profile,live,True,2026-03-27 18:37:07.205057,
TD,fundamental,live,True,2026-03-27 18:38:52.055992,
TD,price,live,True,2026-03-27 18:35:56.820423,
TD,profile,live,True,2026-03-27 18:37:26.871031,
TJX,fundamental,live,True,2026-03-27 18:38:46.406441,
TJX,price,live,True,2026-03-27 18:35:51.723345,
TJX,profile,live,True,2026-03-27 18:37:16.375195,
TMO,fundamental,live,True,2026-03-27 18:38:45.455214,
TMO,price,live,True,2026-03-27 18:35:50.903660,
TMO,profile,live,True,2026-03-27 18:37:14.806248,
TMUS,fundamental,live,True,2026-03-27 18:38:37.605814,
TMUS,price,live,True,2026-03-27 18:35:43.737047,
TMUS,profile,live,True,2026-03-27 18:37:00.007770,
TSLA,fundamental,live,True,2026-03-27 18:38:19.579461,
TSLA,price,live,True,2026-03-27 18:35:28.570523,
TSLA,profile,live,True,2026-03-27 18:36:27.870959,
TSM,fundamental,live,True,2026-03-27 18:38:18.639358,
TSM,price,live,True,2026-03-27 18:35:27.885927,
TSM,profile,live,True,2026-03-27 18:36:26.453641,
TTE,fundamental,live,True,2026-03-27 18:38:42.738686,
TTE,price,live,True,2026-03-27 18:35:48.639589,
TTE,profile,live,True,2026-03-27 18:37:09.806051,
TXN,fundamental,live,True,2026-03-27 18:38:45.857995,
TXN,price,live,True,2026-03-27 18:35:51.309451,
TXN,profile,live,True,2026-03-27 18:37:15.589357,
UBER,fundamental,live,True,2026-03-27 18:38:54.088613,
UBER,price,live,True,2026-03-27 18:35:58.453461,
UBER,profile,live,True,2026-03-27 18:37:30.672853,
UBS,fundamental,live,True,2026-03-27 18:39:08.489260,
UBS,price,live,True,2026-03-27 18:36:11.404128,
UBS,profile,live,True,2026-03-27 18:37:55.647946,
UL,fundamental,missing,False,,fundamental fetch failed: RuntimeError
UL,price,live,True,2026-03-27 18:36:04.280333,
UL,profile,live,True,2026-03-27 18:37:41.749768,
UNH,fundamental,live,True,2026-03-27 18:38:36.675255,
UNH,price,live,True,2026-03-27 18:35:43.139606,
UNH,profile,live,True,2026-03-27 18:36:58.389989,
UNP,fundamental,live,True,2026-03-27 18:38:55.822857,
UNP,price,live,True,2026-03-27 18:36:00.025841,
UNP,profile,live,True,2026-03-27 18:37:33.589206,
V,fundamental,live,True,2026-03-27 18:38:22.688390,
V,price,live,True,2026-03-27 18:35:31.086479,
V,profile,live,True,2026-03-27 18:36:32.926560,
VRT,fundamental,live,True,2026-03-27 18:39:19.341032,
VRT,price,live,True,2026-03-27 18:36:20.203821,
VRT,profile,live,True,2026-03-27 18:38:14.263940,
VRTX,fundamental,live,True,2026-03-27 18:39:09.759124,
VRTX,price,live,True,2026-03-27 18:36:12.472163,
VRTX,profile,live,True,2026-03-27 18:37:57.964231,
VZ,fundamental,live,True,2026-03-27 18:38:40.337467,
VZ,price,live,True,2026-03-27 18:35:46.089681,
VZ,profile,live,True,2026-03-27 18:37:04.587017,
WELL,fundamental,live,True,2026-03-27 18:38:57.455546,
WELL,price,live,True,2026-03-27 18:36:01.589676,
WELL,profile,live,True,2026-03-27 18:37:36.493338,
WFC,fundamental,live,True,2026-03-27 18:38:36.268864,
WFC,price,live,True,2026-03-27 18:35:42.736469,
WFC,profile,live,True,2026-03-27 18:36:57.653939,
WMT,fundamental,live,True,2026-03-27 18:38:20.775647,
WMT,price,live,True,2026-03-27 18:35:29.306801,
WMT,profile,live,True,2026-03-27 18:36:29.548025,
XBI,price,cache_fresh,True,2026-03-27 17:26:25.322582,
XLB,price,cache_fresh,True,2026-03-27 17:26:21.864955,
XLC,price,cache_fresh,True,2026-03-27 17:26:23.150818,
XLE,price,cache_fresh,True,2026-03-27 17:26:20.879366,
XLF,price,cache_fresh,True,2026-03-27 17:26:21.223354,
XLI,price,cache_fresh,True,2026-03-27 17:26:23.432795,
XLK,price,cache_fresh,True,2026-03-27 17:26:22.913419,
XLP,price,cache_fresh,True,2026-03-27 17:26:22.179809,
XLRE,price,cache_fresh,True,2026-03-27 17:26:21.498346,
