symbol,dataset,source,has_data,fetched_at,note
CRWD,fundamental,cache_fresh,True,2026-03-27 10:05:43.595346,
CRWD,price,cache_fresh,True,2026-03-27 10:05:39.745773,
CRWD,profile,cache_fresh,True,2026-03-27 10:05:42.011697,
DIA,price,cache_fresh,True,2026-03-27 17:26:19.862278,
FDN,price,cache_fresh,True,2026-03-27 17:26:24.947984,
HACK,price,cache_fresh,True,2026-03-27 17:26:24.668934,
IGV,price,cache_fresh,True,2026-03-27 17:26:24.232069,
ITA,price,cache_fresh,True,2026-03-27 17:26:25.844925,
IWM,price,cache_fresh,True,2026-03-27 17:26:20.347593,
META,fundamental,cache_fresh,True,2026-03-26 18:21:19.081338,
META,price,cache_fresh,True,2026-03-27 10:05:39.296686,
META,profile,cache_fresh,True,2026-03-26 18:21:18.294863,
NVDA,fundamental,cache_fresh,True,2026-03-26 18:21:18.676260,
NVDA,price,cache_fresh,True,2026-03-27 10:05:39.062671,
NVDA,profile,cache_fresh,True,2026-03-26 18:21:17.977545,
PLTR,fundamental,cache_fresh,True,2026-03-26 18:21:19.146025,
PLTR,price,cache_fresh,True,2026-03-27 10:05:39.477145,
PLTR,profile,cache_fresh,True,2026-03-26 18:21:18.627988,
QQQ,price,cache_fresh,True,2026-03-27 17:26:18.829228,
QQQE,price,cache_fresh,True,2026-03-27 17:26:19.147484,
RSP,price,cache_fresh,True,2026-03-27 17:26:19.545742,
SMH,price,cache_fresh,True,2026-03-27 17:26:23.814578,
SPY,price,cache_fresh,True,2026-03-27 10:05:41.104300,
XBI,price,cache_fresh,True,2026-03-27 17:26:25.322582,
XLB,price,cache_fresh,True,2026-03-27 17:26:21.864955,
XLC,price,cache_fresh,True,2026-03-27 17:26:23.150818,
XLE,price,cache_fresh,True,2026-03-27 17:26:20.879366,
XLF,price,cache_fresh,True,2026-03-27 17:26:21.223354,
XLI,price,cache_fresh,True,2026-03-27 17:26:23.432795,
XLK,price,cache_fresh,True,2026-03-27 17:26:22.913419,
XLP,price,cache_fresh,True,2026-03-27 17:26:22.179809,
XLRE,price,cache_fresh,True,2026-03-27 17:26:21.498346,
XLU,price,cache_fresh,True,2026-03-27 17:26:22.379050,
XLV,price,cache_fresh,True,2026-03-27 17:26:20.579013,
XLY,price,cache_fresh,True,2026-03-27 17:26:22.615404,
^VIX,price,cache_fresh,True,2026-03-27 10:05:41.280304,
