ticker,open,high,low,close,adjusted_close,volume,ema21_high,ema21_low,ema21_close,ema21_cloud_width,sma50,sma200,avg_volume_50d,wma10_weekly,wma30_weekly,three_weeks_tight,atr,adr_percent,dcr_percent,rel_volume,daily_change_pct,from_open_pct,weekly_return,monthly_return,quarterly_return,atr_21ema_zone,atr_10wma_zone,atr_50sma_zone,ema21_low_pct,atr_pct_from_50sma,overheat,atr_21ema_label,atr_50sma_label,ema21_low_size_bucket,pocket_pivot,pp_count_30d,trend_base,trade_date,name,market_cap,sector,industry,ipo_date,last_profile_update,eps_growth,revenue_growth,earnings_date,last_fundamental_update,price_data_source,profile_data_source,fundamental_data_source,price_data_note,profile_data_note,fundamental_data_note,price_data_timestamp,profile_data_timestamp,fundamental_data_timestamp,raw_rs5,rs5,raw_rs21,rs21,raw_rs63,rs63,raw_rs126,rs126,price_ratio,eps_growth_score,revenue_growth_score,fundamental_score,industry_score,hybrid_score,H,F,I,21,63,126,vcs,listing_age_days,ipo_timer,earnings_in_7d,earnings_today,earnings_flag,profile_data_coverage_pct,fundamental_data_coverage_pct,data_quality_score,data_quality_label,data_warning
BRK-B,476.43499755859375,478.3800048828125,474.5,475.2699890136719,475.2699890136719,3757902,490.73366845970276,484.16885425659564,486.65244550759854,6.564814203107119,490.7798010253906,490.9417999267578,4986132.04,493.6052762118253,495.6839373844926,False,7.196116017205902,1.4677418494839543,19.845052697813433,0.7536707752328196,-0.19320301203670232,-0.24452623146740976,-1.2897777334379468,-3.789550717783041,-5.042860334356214,-1.2366205911142327,-2.547942133550068,-2.1553032183798595,-1.8723810567950194,-3.16023845710723,False,below,good,full,False,0,False,2026-03-26,Berkshire Hathaway Inc. New,1025096024064.0,Financial Services,Insurance - Diversified,,2026-03-27T18:36:28.709329,-2.5,-0.7000000000000001,,2026-03-27T18:38:20.373998,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:28.853092,2026-03-27 18:36:28.711468,2026-03-27 18:38:20.377390,80.0,80.0,80.95238095238095,80.95238095238095,88.88888888888889,88.88888888888889,67.46031746031747,67.46031746031747,0.7367498631631384,25.0,16.0,20.5,85.71428571428571,69.17936507936508,69.17936507936508,20.5,85.71428571428571,80.95238095238095,88.88888888888889,67.46031746031747,55.32478768733364,,unknown,False,False,False,80.0,66.67,83.83,mixed,
WMT,123.61000061035156,123.8000030517578,121.8000030517578,122.18000030517578,122.18000030517578,16396063,124.88839254098217,122.20771669139405,123.52213056286135,2.6806758495881127,124.00179992675781,108.539049949646,32940189.26,124.72036174427379,117.511740949077,False,2.8400732052959907,2.0911857905496047,18.999862670899148,0.49775254387837115,-0.7150961083019491,-1.1568645725385003,0.9001602116194718,-2.8389659600987827,10.171324277813154,-0.009759039367925246,-0.8944704081433181,-0.6414622053350079,-0.022684879807697213,-1.4691719173899769,False,good,good,full,False,0,False,2026-03-26,Walmart Inc.,974068187136.0,Consumer Defensive,Discount Stores,,2026-03-27T18:36:29.543062,-19.400000000000002,5.6000000000000005,,2026-03-27T18:38:20.771198,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:29.304302,2026-03-27 18:36:29.544678,2026-03-27 18:38:20.773102,100.0,100.0,95.23809523809523,95.23809523809523,93.65079365079364,93.65079365079364,96.82539682539682,96.82539682539682,0.18939992128036726,8.333333333333332,32.0,20.166666666666664,92.85714285714286,79.50952380952381,79.50952380952381,20.166666666666664,92.85714285714286,95.23809523809523,93.65079365079364,96.82539682539682,47.8876019522459,,unknown,False,False,False,80.0,66.67,83.83,mixed,
LLY,912.3800048828124,916.3499145507812,896.2899780273438,897.0,897.0,2155688,971.3947829137223,947.6659210588447,956.9779651000891,23.728861854877664,1011.1328088378906,895.3208529663086,3204697.76,999.7738336736505,1000.7937076035366,False,27.241858695440133,2.5410995477695275,3.5395025892862577,0.6726649941553303,-2.107365150445051,-1.6857016594514058,-2.2343324250681196,-12.813580638750377,-16.296518631373612,-1.859855512257149,-3.77264396026154,-4.189611660271723,-5.648374699982684,-11.287617990466066,False,below,good,full,False,0,False,2026-03-26,Eli Lilly and Company,802831794176.0,Healthcare,Drug Manufacturers - General,,2026-03-27T18:36:30.355216,50.5,42.6,,2026-03-27T18:38:21.304158,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:29.786541,2026-03-27 18:36:30.358452,2026-03-27 18:38:21.307170,60.0,60.0,23.809523809523807,23.809523809523807,7.936507936507936,7.936507936507936,28.57142857142857,28.57142857142857,1.3905035927659306,91.66666666666666,96.0,93.83333333333333,50.0,43.44920634920635,43.44920634920635,93.83333333333333,50.0,23.809523809523807,7.936507936507936,28.57142857142857,50.44102823950864,,unknown,False,False,False,80.0,66.67,83.83,mixed,
JPM,292.5799865722656,294.9898986816406,290.7300109863281,291.6600036621094,291.6600036621094,5374603,295.9627175006414,289.54067717910726,292.72524367978434,6.422040321534155,300.7254022216797,301.84510040283203,11318074.06,296.857636607777,306.69537576654903,False,7.07214158391204,2.25726216452847,21.831389517723586,0.4748690432230658,-1.2727674479456885,-0.31443808612282487,1.2813843198125952,-3.8377792942097866,-10.51452452483007,0.299672518975473,-0.7349446958883566,-1.2818463052539302,0.726642822598799,-3.0145104113578567,False,good,good,full,False,0,False,2026-03-26,JP Morgan Chase & Co.,786616483840.0,Financial Services,Banks - Diversified,,2026-03-27T18:36:31.186410,-7.000000000000001,2.5,,2026-03-27T18:38:21.704316,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:30.203244,2026-03-27 18:36:31.195311,2026-03-27 18:38:21.704317,100.0,100.0,100.0,100.0,71.42857142857143,71.42857142857143,50.0,50.0,0.4521229464417922,20.833333333333336,24.0,22.416666666666668,57.14285714285714,55.91190476190476,55.91190476190476,22.416666666666668,57.14285714285714,100.0,71.42857142857143,50.0,51.715412290300065,,unknown,False,False,False,80.0,66.67,83.83,mixed,
XOM,164.08999633789062,165.6699981689453,162.05999755859375,165.42999267578125,165.42999267578125,18582501,158.1293321126027,154.23581871082885,156.51021661340548,3.893513401773845,148.08379913330077,122.37894992828369,22387054.02,151.36581753817472,134.285010750063,False,4.022232548047594,2.597112198136233,93.35164951286006,0.8300556644656724,1.329167121131114,0.8166228093096748,4.596603974038449,10.982151741115276,38.527880767293986,2.7830747802948617,3.496609151659649,4.312578483534072,6.7667136919309145,11.713768585087376,True,extended,extended,reduced,False,0,True,2026-03-26,Exxon Mobil Corporation,689307648000.0,Energy,Oil & Gas Integrated,,2026-03-27T18:36:32.020062,-14.6,-1.3,,2026-03-27T18:38:22.272526,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:30.771266,2026-03-27 18:36:32.025098,2026-03-27 18:38:22.272527,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.25644481512476636,12.5,12.0,12.25,100.0,82.45,82.45,12.25,100.0,100.0,100.0,100.0,57.36834892984154,,unknown,False,False,False,80.0,66.67,83.83,mixed,
V,304.1600036621094,307.8699951171875,303.0,305.5299987792969,305.5299987792969,7636034,312.66870814107233,306.7631654239429,309.4194187773803,5.9055427171294355,318.61359741210936,338.1174482727051,7962326.68,315.0707264293324,329.11360998666413,False,6.304901874446027,1.934090686505757,51.950745707482135,0.9590204354689954,0.20333708626842917,0.45041922037501825,1.9418796470424216,-2.3834600747109858,-13.540665980629996,-0.19558855462034766,-1.513223812206248,-2.0751470670528174,-0.4036155695260586,-4.106415651774446,False,good,good,full,False,0,False,2026-03-26,Visa Inc.,589073940480.0,Financial Services,Credit Services,,2026-03-27T18:36:32.919669,14.299999999999999,14.6,,2026-03-27T18:38:22.673311,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:31.076018,2026-03-27 18:36:32.924562,2026-03-27 18:38:22.687255,100.0,100.0,100.0,100.0,57.14285714285714,57.14285714285714,28.57142857142857,28.57142857142857,0.473623813824284,54.166666666666664,52.0,53.08333333333333,42.857142857142854,50.61666666666666,50.61666666666666,53.08333333333333,42.857142857142854,100.0,57.14285714285714,28.57142857142857,47.356663159893415,,unknown,False,False,False,80.0,66.67,83.83,mixed,
JNJ,240.0,241.63999938964844,238.92999267578125,239.2400054931641,239.2400054931641,4812443,241.4632425986047,237.39313639188188,239.39000007075904,4.070106206722812,236.47160095214844,196.2421499633789,9058402.86,239.31690784801137,219.87356928343414,False,4.180615652423993,1.7904876315590783,11.439559016459103,0.5312683785847874,-0.287578545275724,-0.31666437784829543,0.6902354156228308,-2.4187268915729643,16.260086943509865,0.4417696470641502,-0.01839498323714309,0.6622002047498644,0.771973356828476,1.1707133245043917,False,good,good,full,False,0,True,2026-03-26,Johnson & Johnson,576544243712.0,Healthcare,Drug Manufacturers - General,,2026-03-27T18:36:33.795488,49.1,9.1,,2026-03-27T18:38:23.084544,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:31.569865,2026-03-27 18:36:33.807951,2026-03-27 18:38:23.086544,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.3708629734354355,87.5,36.0,61.75,50.0,77.35,77.35,61.75,50.0,100.0,100.0,100.0,57.39400596889567,,unknown,False,False,False,80.0,66.67,83.83,mixed,
ASML,1356.81005859375,1359.4200439453125,1326.8499755859375,1329.5,1329.5,1714993,1397.6987992063619,1352.0365270776747,1375.7724643092301,45.662272128687164,1396.64640625,1038.7915490722655,1831653.86,1376.151091974432,1239.6305161342825,False,55.03610752126089,3.304541516486146,8.13637965024324,0.9363084573195505,-4.619447300128465,-2.0128136890476176,-2.699815883675716,-12.905910115576201,25.207191553852446,-0.4094862099207988,-0.8476451928656147,-1.2200427914357994,-1.6951129806449563,-4.807688327519364,False,good,good,full,False,0,False,2026-03-26,ASML Holding N.V. - New York Re,522039721984.0,Technology,Semiconductor Equipment & Materials,,2026-03-27T18:36:34.737840,5.4,4.9,,2026-03-27T18:38:23.473102,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:31.889044,2026-03-27 18:36:34.737841,2026-03-27 18:38:23.473103,40.0,40.0,61.904761904761905,61.904761904761905,66.66666666666666,66.66666666666666,83.33333333333334,83.33333333333334,2.0609526494786006,33.33333333333333,28.000000000000004,30.666666666666664,71.42857142857143,63.75238095238095,63.75238095238095,30.666666666666664,71.42857142857143,61.904761904761905,66.66666666666666,83.33333333333334,42.23598392154549,,unknown,False,False,False,80.0,66.67,83.83,mixed,
MA,500.510009765625,504.7999877929688,499.0501098632813,500.75,500.75,2720647,512.292306760705,502.07220799449385,506.8530611089926,10.220098766211095,521.7911981201172,555.1450480651855,3907390.94,516.2701815518466,540.3943386939264,False,11.179339812866381,2.062364394173553,29.56393435662173,0.6962822614314604,-0.39979507649425816,0.047949137817919124,1.9566691910536838,-1.6961491980561294,-13.117025902374667,-0.11827245764299184,-1.388291420749577,-1.8821503301921942,-0.26404553060286595,-4.032493877996286,False,good,good,full,False,0,False,2026-03-26,Mastercard Incorporated,446888181760.0,Financial Services,Credit Services,,2026-03-27T18:36:35.537192,21.5,17.599999999999998,,2026-03-27T18:38:23.873158,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:32.286945,2026-03-27 18:36:35.537193,2026-03-27 18:38:23.873158,100.0,100.0,95.23809523809523,95.23809523809523,57.14285714285714,57.14285714285714,28.57142857142857,28.57142857142857,0.7762482431187735,62.5,70.0,66.25,42.857142857142854,52.77380952380952,52.77380952380952,66.25,42.857142857142854,95.23809523809523,57.14285714285714,28.57142857142857,44.7503802823413,,unknown,False,False,False,80.0,66.67,83.83,mixed,
COST,975.6900024414062,987.1900024414062,972.7200927734376,979.6500244140624,979.6500244140624,1494570,994.9289379683117,977.7537637946884,985.2396749355366,17.175174173623304,984.8133972167968,948.367399597168,2124053.4,993.0730846058239,949.8526617891046,False,17.891191190411146,1.8052303042562017,47.89201729410404,0.7036405016936015,0.4913566188453844,0.4058688684671595,0.49959939379351503,-1.5189578595064979,14.607102281997575,0.10598850569492857,-0.750260843389545,-0.28859860407180565,0.19356510714202435,-0.5242996101928311,False,good,good,full,False,0,False,2026-03-26,Costco Wholesale Corporation,434836668416.0,Consumer Defensive,Discount Stores,,2026-03-27T18:36:36.374541,13.8,9.2,,2026-03-27T18:38:24.421334,cache_fresh,cache_fresh,cache_fresh,,,,2026-03-27 18:35:32.601724,2026-03-27 18:36:36.375817,2026-03-27 18:38:24.425345,100.0,100.0,95.23809523809523,95.23809523809523,98.4126984126984,98.4126984126984,99.20634920634922,99.20634920634922,1.518625282721277,50.0,40.0,45.0,92.85714285714286,85.9047619047619,85.9047619047619,45.0,92.85714285714286,95.23809523809523,98.4126984126984,99.20634920634922,53.58116738464636,,unknown,False,False,False,80.0,66.67,83.83,mixed,
