date,open,high,low,close,adjusted_close,volume
2024-09-27,577.6500244140625,584.0700073242188,575.3300170898438,582.3599853515625,559.211669921875,848100
2024-09-30,584.1400146484375,584.9500122070312,579.2100219726562,584.5599975585938,561.32421875,974900
2024-10-01,586.1199951171875,611.489990234375,581.9099731445312,605.8599853515625,581.7776489257812,2356200
2024-10-02,604.9400024414062,610.0,601.4199829101562,603.2000122070312,579.2233276367188,1192500
2024-10-03,604.4400024414062,609.0,601.0,605.8200073242188,581.7391967773438,856600
2024-10-04,603.6599731445312,606.2899780273438,599.3200073242188,605.1300048828125,581.0765991210938,559800
2024-10-07,607.0,611.5900268554688,604.0,605.5399780273438,581.4703369140625,1102200
2024-10-08,607.219970703125,610.75,603.0900268554688,608.0499877929688,583.8804931640625,571800
2024-10-09,606.7100219726562,607.1400146484375,603.02001953125,605.1099853515625,581.057373046875,543800
2024-10-10,606.1099853515625,607.2899780273438,596.219970703125,597.489990234375,573.7401733398438,853700
2024-10-11,600.5800170898438,604.5499877929688,600.0900268554688,604.1699829101562,580.1548461914062,526000
2024-10-14,606.0,611.989990234375,603.780029296875,610.8699951171875,586.5884399414062,562300
2024-10-15,612.5,614.6199951171875,603.719970703125,605.0,580.9517211914062,849600
2024-10-16,603.0,613.010009765625,602.6199951171875,612.8300170898438,588.4705810546875,549200
2024-10-17,612.8300170898438,614.47998046875,607.239990234375,609.6199951171875,585.3880615234375,617500
2024-10-18,611.3900146484375,613.3699951171875,608.489990234375,611.8099975585938,587.4910888671875,864100
2024-10-21,615.6400146484375,618.9500122070312,611.3599853515625,614.6099853515625,590.1797485351562,1017500
2024-10-22,606.9000244140625,608.3400268554688,574.0,576.97998046875,554.0455932617188,2259200
2024-10-23,577.02001953125,582.1799926757812,571.0,571.0999755859375,548.399169921875,1402200
2024-10-24,570.72998046875,573.9299926757812,564.1799926757812,564.2100219726562,541.7831420898438,1102800
2024-10-25,566.7000122070312,569.97998046875,561.0999755859375,562.2899780273438,539.9395141601562,1077600
2024-10-28,563.0,563.1599731445312,554.5,555.1699829101562,533.1024169921875,1278700
2024-10-29,552.7999877929688,553.4000244140625,546.4099731445312,546.7999877929688,525.0651245117188,1041700
2024-10-30,546.9000244140625,551.260009765625,543.2000122070312,545.9400024414062,524.2393798828125,1005200
2024-10-31,547.0399780273438,551.6799926757812,542.6699829101562,546.0499877929688,524.3450317382812,1245300
2024-11-01,548.0,549.3300170898438,544.6199951171875,545.3499755859375,523.6728515625,792600
2024-11-04,545.7000122070312,548.8099975585938,540.4099731445312,543.0999755859375,521.51220703125,827600
2024-11-05,545.0,547.1699829101562,542.0,546.75,525.0171508789062,610100
2024-11-06,561.4000244140625,561.4000244140625,540.0,551.8200073242188,529.8856201171875,1751300
2024-11-07,555.0,557.0,549.6699829101562,551.8400268554688,529.90478515625,818200
2024-11-08,555.469970703125,566.8099975585938,554.719970703125,564.5599975585938,542.1192016601562,1165700
2024-11-11,570.219970703125,576.1500244140625,569.7999877929688,570.5800170898438,547.8999633789062,1171400
2024-11-12,574.3200073242188,576.4299926757812,564.7999877929688,565.9600219726562,543.4635620117188,1133500
2024-11-13,564.0,565.0,556.3300170898438,557.72998046875,535.5606689453125,1118300
2024-11-14,561.3499755859375,561.3499755859375,533.7899780273438,538.989990234375,517.5656127929688,1972700
2024-11-15,537.8699951171875,542.5399780273438,531.4199829101562,534.8300170898438,513.5709838867188,1757100
2024-11-18,536.4000244140625,537.97998046875,528.739990234375,530.9600219726562,509.8547668457031,1298400
2024-11-19,537.0800170898438,539.3200073242188,531.2100219726562,533.260009765625,512.0634155273438,935700
2024-11-20,534.1799926757812,535.22998046875,529.2000122070312,534.72998046875,513.4749145507812,994300
2024-11-21,535.1400146484375,544.6799926757812,533.719970703125,542.010009765625,520.4655151367188,1321700
2024-11-22,545.0,546.0,539.9199829101562,542.219970703125,520.667236328125,1311000
2024-11-25,532.97998046875,534.1599731445312,514.9000244140625,521.8900146484375,501.14532470703125,3613500
2024-11-26,519.3900146484375,524.0599975585938,519.3900146484375,521.4500122070312,500.72283935546875,1345800
2024-11-27,523.5399780273438,529.989990234375,523.1699829101562,525.75,504.85186767578125,890400
2024-11-29,527.77001953125,529.47998046875,524.5900268554688,529.4099731445312,508.3664245605469,658200
2024-12-02,525.25,526.7899780273438,519.2999877929688,520.3400268554688,502.7910461425781,1115600
2024-12-03,520.1400146484375,521.5,516.25,517.0,499.56365966796875,1188400
2024-12-04,516.1300048828125,519.8300170898438,513.1400146484375,517.5,500.0467834472656,1542800
2024-12-05,517.4199829101562,520.5599975585938,514.010009765625,517.47998046875,500.0274658203125,1113400
2024-12-06,515.719970703125,517.4400024414062,509.6000061035156,513.030029296875,495.72760009765625,1284700
2024-12-09,511.19000244140625,516.3599853515625,508.54998779296875,510.010009765625,492.8094177246094,1170500
2024-12-10,509.1600036621094,514.6099853515625,508.1000061035156,512.9400024414062,495.6405944824219,1178900
2024-12-11,513.7999877929688,514.0,503.30999755859375,504.239990234375,487.2339782714844,1308000
2024-12-12,500.0,501.1000061035156,488.7099914550781,496.5799865722656,479.83233642578125,1862800
2024-12-13,495.57000732421875,499.2200012207031,492.17999267578125,494.6499938964844,477.9674377441406,990100
2024-12-16,494.79998779296875,494.79998779296875,490.1499938964844,491.6499938964844,475.068603515625,1483700
2024-12-17,489.05999755859375,493.0,487.760009765625,490.6099853515625,474.0636901855469,1354500
2024-12-18,489.5,490.239990234375,482.4100036621094,482.94000244140625,466.65234375,1424400
2024-12-19,480.0,484.0,477.30999755859375,479.6600036621094,463.4830017089844,1250400
2024-12-20,479.45001220703125,489.0199890136719,477.7699890136719,489.0199890136719,472.5273132324219,3973500
2024-12-23,487.42999267578125,488.8500061035156,481.8299865722656,486.489990234375,470.0826110839844,1053900
2024-12-24,486.05999755859375,488.7300109863281,484.010009765625,488.1300048828125,471.6673583984375,375900
2024-12-26,488.0,493.4700012207031,486.2699890136719,489.9800109863281,473.4549255371094,662100
2024-12-27,488.3800048828125,493.3999938964844,486.3800048828125,488.9700012207031,472.4789733886719,820600
2024-12-30,486.0,486.54998779296875,481.8500061035156,483.3699951171875,467.0678405761719,887600
2024-12-31,484.3800048828125,486.5299987792969,482.0,485.94000244140625,469.5511474609375,731900
2025-01-02,485.94000244140625,489.7200012207031,481.4200134277344,482.25,465.98565673828125,953700
2025-01-03,481.4200134277344,483.9200134277344,480.9100036621094,481.82000732421875,465.57012939453125,817200
2025-01-06,478.75,480.0,465.8599853515625,466.0,450.2836608886719,1698600
2025-01-07,465.7200012207031,473.4200134277344,462.94000244140625,463.9599914550781,448.3125,1276600
2025-01-08,463.5,469.2200012207031,461.239990234375,468.8500061035156,453.03759765625,998700
2025-01-10,468.0,471.5899963378906,465.7300109863281,468.04998779296875,452.2645263671875,1127400
2025-01-13,469.0,484.82000732421875,468.79998779296875,483.1600036621094,466.8649597167969,1435200
2025-01-14,485.0,485.20001220703125,477.9700012207031,484.4599914550781,468.12109375,1162000
2025-01-15,487.760009765625,487.760009765625,480.3699951171875,483.9700012207031,467.6475830078125,882200
2025-01-16,481.79998779296875,487.0,481.5,486.8599853515625,470.4401550292969,956400
2025-01-17,487.5400085449219,492.04998779296875,484.19000244140625,490.32000732421875,473.7834777832031,1337600
2025-01-21,495.0,509.54998779296875,494.7200012207031,506.2900085449219,489.2148742675781,1615900
2025-01-22,503.239990234375,505.5299987792969,495.17999267578125,499.3399963378906,482.499267578125,1324800
2025-01-23,503.5199890136719,506.0,493.9800109863281,497.2799987792969,480.5087585449219,913000
2025-01-24,495.0,497.2900085449219,494.6000061035156,496.9599914550781,480.1995544433594,759400
2025-01-27,500.0899963378906,507.1099853515625,496.7799987792969,503.69000244140625,486.70257568359375,1948600
2025-01-28,473.70001220703125,479.7300109863281,457.2699890136719,457.45001220703125,442.0220642089844,4023900
2025-01-29,460.0,462.489990234375,449.3999938964844,454.3599853515625,439.0362243652344,2396800
2025-01-30,456.5799865722656,459.8900146484375,451.32000732421875,459.6499938964844,444.1478576660156,1911800
2025-01-31,460.0,464.2300109863281,457.1499938964844,462.95001220703125,447.3365478515625,1473800
2025-02-03,458.79998779296875,461.3299865722656,453.5799865722656,455.4200134277344,440.0605163574219,1476300
2025-02-04,454.0,455.4100036621094,451.260009765625,453.67999267578125,438.3791809082031,1234200
2025-02-05,457.0,457.1000061035156,448.7699890136719,449.8699951171875,434.69769287109375,1139700
2025-02-06,450.0,452.1700134277344,444.6300048828125,448.5199890136719,433.3931884765625,1291800
2025-02-07,449.8999938964844,451.5,443.7799987792969,444.3900146484375,429.40252685546875,1347400
2025-02-10,444.79998779296875,448.94000244140625,440.7099914550781,448.2200012207031,433.10333251953125,1427800
2025-02-11,447.8999938964844,451.79998779296875,445.0,449.3599853515625,434.2048645019531,906100
2025-02-12,447.260009765625,449.1400146484375,441.04998779296875,441.9700012207031,427.0641174316406,1282800
2025-02-13,442.5,445.29998779296875,432.010009765625,434.7200012207031,420.05865478515625,2400000
2025-02-14,433.54998779296875,435.1600036621094,419.70001220703125,423.19000244140625,408.9175109863281,3252800
2025-02-18,429.69000244140625,432.92999267578125,423.5,428.5400085449219,414.0870666503906,2812500
2025-02-19,431.0,438.0,425.5799865722656,432.95001220703125,418.3483581542969,2802100
2025-02-20,429.5799865722656,438.0,429.30999755859375,436.2900085449219,421.57568359375,1358000
2025-02-21,436.3900146484375,443.7300109863281,435.6700134277344,440.7200012207031,425.85626220703125,1652400
2025-02-24,442.0,448.2799987792969,438.5400085449219,440.2699890136719,425.42144775390625,1946200
2025-02-25,441.75,451.6700134277344,441.0,448.4599914550781,433.335205078125,1715500
2025-02-26,445.8299865722656,448.0,439.3399963378906,441.5,426.6099853515625,1466900
2025-02-27,442.19000244140625,447.0799865722656,441.45001220703125,446.4599914550781,431.4026794433594,1458100
2025-02-28,447.0,450.79998779296875,445.0299987792969,450.3699951171875,435.1807861328125,1433600
2025-03-03,452.8699951171875,454.42999267578125,448.8299865722656,451.94000244140625,439.92132568359375,1579400
2025-03-04,450.7799987792969,463.739990234375,448.489990234375,448.82000732421875,436.88433837890625,2268700
2025-03-05,451.1300048828125,463.4800109863281,449.3699951171875,460.4200134277344,448.17578125,2060100
2025-03-06,461.32000732421875,463.5,453.4100036621094,461.5,449.22705078125,1395800
2025-03-07,458.0,477.489990234375,458.0,473.6499938964844,461.053955078125,2168700
2025-03-10,475.4599914550781,494.20001220703125,473.70001220703125,479.1700134277344,466.42718505859375,2284400
2025-03-11,476.7099914550781,478.6499938964844,466.5400085449219,468.8800048828125,456.41082763671875,1456900
2025-03-12,465.1400146484375,466.82000732421875,456.0,461.5,449.22705078125,1271500
2025-03-13,460.04998779296875,468.5299987792969,459.8599853515625,467.92999267578125,455.486083984375,1159200
2025-03-14,465.9200134277344,469.0,461.9599914550781,466.1700134277344,453.77288818359375,972400
2025-03-17,463.8399963378906,472.2699890136719,462.8299865722656,467.6099853515625,455.1745910644531,1051600
2025-03-18,468.1199951171875,471.6300048828125,465.3900146484375,469.2799987792969,456.8001708984375,881600
2025-03-19,471.2300109863281,475.69000244140625,466.7699890136719,470.54998779296875,458.036376953125,1122700
2025-03-20,469.1600036621094,469.8999938964844,464.2099914550781,466.739990234375,454.3277282714844,922000
2025-03-21,478.0899963378906,481.5,432.510009765625,439.70001220703125,428.0068359375,7141700
2025-03-24,425.6300048828125,435.7699890136719,424.29998779296875,434.9800109863281,423.4123229980469,3015400
2025-03-25,436.7699890136719,444.010009765625,433.0,442.07000732421875,430.3138122558594,1600200
2025-03-26,444.2799987792969,451.20001220703125,443.0,445.1700134277344,433.33135986328125,1349700
2025-03-27,446.0299987792969,448.1400146484375,440.2200012207031,442.2799987792969,430.5182189941406,1559300
2025-03-28,442.2300109863281,445.760009765625,439.55999755859375,441.489990234375,429.74920654296875,1595700
2025-03-31,441.57000732421875,451.05999755859375,440.739990234375,446.7099914550781,434.83038330078125,1690000
2025-04-01,448.0,451.25,444.4800109863281,448.6400146484375,436.7090759277344,1042400
2025-04-02,446.2200012207031,455.9200134277344,445.010009765625,452.8699951171875,440.8265686035156,1270300
2025-04-03,453.510009765625,461.8800048828125,450.79998779296875,454.7799987792969,442.685791015625,1813800
2025-04-04,450.0,454.92999267578125,432.1300048828125,432.1499938964844,420.6575927734375,2392700
2025-04-07,422.20001220703125,438.9100036621094,418.8800048828125,430.82000732421875,419.36297607421875,1968100
2025-04-08,448.44000244140625,451.3900146484375,437.42999267578125,443.3599853515625,431.5694580078125,2151500
2025-04-09,439.25,468.3299865722656,435.3800048828125,462.239990234375,449.9473876953125,2291600
2025-04-10,460.0,469.1000061035156,450.3800048828125,463.70001220703125,451.3685607910156,1832600
2025-04-11,464.3299865722656,478.17999267578125,460.32000732421875,474.8999938964844,462.2707214355469,1452300
2025-04-14,472.79998779296875,478.75,467.5899963378906,475.3399963378906,462.6990051269531,1079600
2025-04-15,474.2699890136719,475.3399963378906,468.0,469.5799865722656,457.0921936035156,1224300
2025-04-16,477.3299865722656,482.82000732421875,474.5299987792969,477.0799865722656,464.39276123046875,1529700
2025-04-17,461.6400146484375,469.6700134277344,448.3900146484375,464.0799865722656,451.73846435546875,3052800
2025-04-21,459.260009765625,463.2300109863281,452.7900085449219,458.3299865722656,446.1413879394531,1532900
2025-04-22,458.04998779296875,470.7699890136719,442.3500061035156,462.0799865722656,449.7916564941406,2878000
2025-04-23,467.0,471.3900146484375,457.6499938964844,463.54998779296875,451.2225646972656,1352700
2025-04-24,465.7699890136719,467.5899963378906,460.1600036621094,466.80999755859375,454.3958435058594,1105000
2025-04-25,469.989990234375,478.4599914550781,467.8999938964844,477.6400146484375,464.9378662109375,1521700
2025-04-28,479.30999755859375,483.7900085449219,474.2900085449219,476.2900085449219,463.623779296875,1159700
2025-04-29,475.9800109863281,479.29998779296875,473.3500061035156,475.8800048828125,463.22467041015625,897100
2025-04-30,478.2699890136719,478.6099853515625,471.1300048828125,477.75,465.0449523925781,1095000
2025-05-01,476.0,479.45001220703125,473.0,477.7200012207031,465.0157470703125,986400
2025-05-02,484.75,491.07000732421875,467.510009765625,472.79998779296875,460.2265625,2090500
