date,open,high,low,close,adjusted_close,volume
2024-09-27,135.0500030517578,135.6999969482422,134.6199951171875,134.8300018310547,132.33641052246094,5859200
2024-09-30,134.8300018310547,135.57000732421875,134.0399932861328,135.44000244140625,132.9351348876953,5321200
2024-10-01,135.3699951171875,136.16000366210938,134.2899932861328,135.50999450683594,133.0038299560547,9398600
2024-10-02,135.25999450683594,135.77999877929688,134.69000244140625,135.25999450683594,132.75845336914062,5189700
2024-10-03,134.8699951171875,135.25999450683594,134.07000732421875,134.57000732421875,132.08123779296875,6361400
2024-10-04,135.6300048828125,135.9199981689453,134.27000427246094,135.50999450683594,133.0038299560547,5797100
2024-10-07,134.83999633789062,135.74000549316406,134.50999450683594,135.17999267578125,132.679931640625,5737800
2024-10-08,135.6999969482422,135.89999389648438,134.9600067138672,135.47999572753906,132.97439575195312,4980600
2024-10-09,135.49000549316406,136.77999877929688,135.3000030517578,136.69000244140625,134.16201782226562,5064800
2024-10-10,136.14999389648438,136.3699951171875,135.52999877929688,135.99000549316406,133.4749755859375,5495600
2024-10-11,136.49000549316406,138.47000122070312,136.49000549316406,138.4199981689453,135.86001586914062,8764800
2024-10-14,138.38999938964844,139.32000732421875,137.85000610351562,139.25,136.67466735839844,6817400
2024-10-15,139.39999389648438,139.77000427246094,138.05999755859375,138.17999267578125,135.6244659423828,7808900
2024-10-16,138.39999389648438,139.5500030517578,138.33999633789062,139.25,136.67466735839844,8207800
2024-10-17,139.27000427246094,139.47000122070312,138.60000610351562,138.85000610351562,136.28208923339844,5065100
2024-10-18,139.2100067138672,139.3300018310547,138.42999267578125,139.27000427246094,136.69432067871094,4782100
2024-10-21,139.25,139.4499969482422,138.22000122070312,138.77999877929688,136.21337890625,5216700
2024-10-22,138.1699981689453,138.27999877929688,136.38999938964844,137.10000610351562,134.56446838378906,8579700
2024-10-23,136.9600067138672,137.5399932861328,136.0,136.6999969482422,134.17184448242188,8480700
2024-10-24,136.49000549316406,136.49000549316406,135.3699951171875,135.75999450683594,133.24920654296875,6720400
2024-10-25,136.3800048828125,136.75,135.1199951171875,135.39999389648438,132.89585876464844,6399300
2024-10-28,136.0800018310547,136.39999389648438,135.75999450683594,135.8000030517578,133.28846740722656,7132200
2024-10-29,135.38999938964844,136.14999389648438,134.58999633789062,135.6199951171875,133.11180114746094,11192300
2024-10-30,135.02000427246094,136.1199951171875,134.7899932861328,135.38999938964844,132.8860626220703,10469000
2024-10-31,134.32000732421875,134.6699981689453,133.41000366210938,133.8300018310547,131.35491943359375,16640000
2024-11-01,134.50999450683594,135.24000549316406,133.97999572753906,134.00999450683594,131.53158569335938,7482300
2024-11-04,134.14999389648438,134.8800048828125,133.49000549316406,133.86000061035156,131.3843536376953,6744400
2024-11-05,134.3300018310547,136.1300048828125,133.99000549316406,136.10000610351562,133.58291625976562,7469400
