date,open,high,low,close,adjusted_close,volume
2024-09-27,115.86000061035156,116.38999938964844,115.5999984741211,115.61000061035156,108.17082214355469,919200
2024-09-30,115.41999816894531,115.5,114.81999969482422,115.0199966430664,107.61878967285156,1192400
2024-10-01,115.0,115.04000091552734,114.11000061035156,114.55000305175781,107.17903900146484,912900
2024-10-02,114.27999877929688,114.5199966430664,113.80999755859375,114.47000122070312,107.10418701171875,825500
2024-10-03,115.05000305175781,115.0999984741211,113.68000030517578,113.7699966430664,106.44922637939453,1004400
2024-10-04,112.87999725341797,114.02999877929688,112.80000305175781,113.94999694824219,106.61764526367188,820400
2024-10-07,114.58999633789062,114.66000366210938,113.72000122070312,113.86000061035156,106.53343963623047,1028900
2024-10-08,114.12000274658203,114.19000244140625,113.55000305175781,113.7699966430664,106.44922637939453,697200
2024-10-09,115.13999938964844,115.72000122070312,114.97000122070312,115.63999938964844,108.19889068603516,1330600
2024-10-10,115.63999938964844,115.70999908447266,114.58000183105469,114.80999755859375,107.42230987548828,762700
2024-10-11,115.69999694824219,116.26000213623047,115.5,116.22000122070312,108.7415771484375,1096000
2024-10-14,115.91999816894531,116.44000244140625,115.88999938964844,116.30000305175781,108.8164291381836,767200
2024-10-15,116.02999877929688,116.91999816894531,115.80000305175781,116.22000122070312,108.7415771484375,773600
2024-10-16,116.38999938964844,116.86000061035156,116.26000213623047,116.56999969482422,109.06905364990234,620200
2024-10-17,116.51000213623047,116.72000122070312,116.08000183105469,116.51000213623047,109.0129165649414,975400
2024-10-18,116.62000274658203,117.36000061035156,116.29000091552734,117.18000030517578,109.63980102539062,655600
2024-10-21,116.7699966430664,116.8499984741211,115.58999633789062,115.7300033569336,108.2831039428711,646400
2024-10-22,114.16000366210938,114.54000091552734,113.93000030517578,114.31999969482422,106.96383666992188,858900
2024-10-23,113.9800033569336,114.2699966430664,113.75,114.06999969482422,106.72992706298828,1158200
2024-10-24,114.08000183105469,114.23999786376953,113.12000274658203,113.12999725341797,105.85040283203125,622000
2024-10-25,113.6500015258789,114.08999633789062,113.5,113.79000091552734,106.46794128417969,904000
2024-10-28,114.27999877929688,115.7699966430664,114.16000366210938,115.62999725341797,108.18953704833984,1602900
2024-10-29,111.80999755859375,112.7699966430664,109.80999755859375,110.52999877929688,103.41771697998047,3154600
2024-10-30,110.62999725341797,110.98999786376953,109.7300033569336,109.91000366210938,102.83760833740234,2845600
2024-10-31,108.45999908447266,108.83000183105469,107.94000244140625,108.4000015258789,101.42477416992188,1403900
2024-11-01,109.86000061035156,110.02999877929688,109.30000305175781,109.3499984741211,102.31363677978516,1112000
2024-11-04,110.9000015258789,111.2300033569336,110.2699966430664,110.5199966430664,103.40835571289062,1055000
2024-11-05,108.97000122070312,109.44999694824219,108.56999969482422,109.37999725341797,102.34170532226562,745100
2024-11-06,107.80999755859375,107.83000183105469,106.44000244140625,106.80999755859375,99.93708038330078,1369500
2024-11-07,106.56999969482422,107.0999984741211,106.16999816894531,107.08000183105469,100.18970489501953,1293300
2024-11-08,106.61000061035156,106.69000244140625,106.12999725341797,106.44999694824219,99.6002426147461,1176900
2024-11-11,106.2300033569336,106.41000366210938,105.4800033569336,105.66999816894531,98.87042999267578,1080900
2024-11-12,105.16000366210938,105.2300033569336,104.41000366210938,104.91999816894531,98.16869354248047,1093800
2024-11-13,104.02999877929688,104.16000366210938,103.37999725341797,103.86000061035156,97.17691040039062,1826000
2024-11-14,104.12999725341797,104.68000030517578,103.37000274658203,103.4000015258789,96.74651336669922,1636400
2024-11-15,102.91999816894531,103.30000305175781,102.58999633789062,103.05999755859375,96.42838287353516,1452200
